user_id,product_id,category,price,rating,timestamp,purchase_count,view_count,user_age,user_gender,customer_name
578,310,Books,162.51,4.2,2024-05-13 10:38:50.320388,2,38,38,Male,Vikram Reddy
106,389,Electronics,225.96,2.4,2024-04-25 10:38:50.320418,9,37,30,Female,Kiran Sharma
80,47,Electronics,164.71,3.0,2024-10-28 10:38:50.320428,3,7,58,Other,Deepika Reddy
363,432,Sports,323.92,4.0,2024-08-18 10:38:50.320437,5,45,36,Female,Amit Verma
297,146,Clothing,396.93,2.1,2024-07-10 10:38:50.320444,0,22,49,Female,Kiran Patel
521,258,Home Decor,242.94,3.1,2024-10-25 10:38:50.320451,2,9,43,Male,Suresh Gupta
904,23,Clothing,246.15,3.2,2025-01-11 10:38:50.320458,1,46,42,Other,Ananya Iyer
826,246,Home Decor,420.94,2.4,2025-01-22 10:38:50.320465,8,46,35,Female,Sneha Gupta
800,67,Home Decor,136.82,4.2,2024-08-26 10:38:50.320481,1,11,54,Female,Ananya Gupta
343,130,Clothing,311.74,2.3,2024-09-12 10:38:50.320489,5,10,29,Female,Rahul Das
878,238,Beauty,318.31,3.4,2024-02-26 10:38:50.320496,9,37,20,Female,Pooja Das
823,34,Electronics,204.66,1.7,2024-08-22 10:38:50.320503,2,23,51,Female,Pooja Sharma
976,362,Home Decor,315.38,2.3,2024-09-30 10:38:50.320509,7,30,31,Other,Sneha Singh
732,280,Home Decor,334.1,2.1,2024-11-20 10:38:50.320516,2,41,51,Male,Ananya Nair
291,178,Beauty,117.6,3.2,2024-07-17 10:38:50.320522,9,30,49,Male,Deepika Bose
231,18,Sports,408.31,4.7,2024-10-26 10:38:50.320529,6,42,46,Male,Sneha Verma
806,462,Sports,101.37,2.3,2024-04-14 10:38:50.320535,6,48,31,Female,Rahul Nair
977,208,Sports,418.92,4.4,2024-09-19 10:38:50.320542,7,9,36,Female,Ananya Reddy
638,317,Electronics,257.43,4.2,2024-12-31 10:38:50.320551,1,9,40,Other,Ananya Reddy
543,479,Sports,498.83,2.9,2024-08-22 10:38:50.320557,4,31,23,Other,Priya Bose
492,244,Clothing,457.04,4.5,2024-03-26 10:38:50.320564,5,41,37,Female,Deepika Gupta
80,134,Clothing,124.61,4.0,2025-02-25 10:38:50.320570,1,13,33,Male,Deepika Reddy
906,373,Home Decor,35.87,4.5,2024-12-17 10:38:50.320577,0,26,60,Other,Suresh Gupta
891,280,Beauty,241.0,1.4,2024-06-24 10:38:50.320584,10,28,56,Male,Kiran Sharma
996,23,Beauty,240.29,4.0,2024-05-22 10:38:50.320590,7,18,34,Female,Vikram Patel
234,464,Clothing,284.36,4.0,2024-09-06 10:38:50.320597,8,44,50,Female,Ananya Reddy
638,118,Beauty,155.25,4.0,2024-04-19 10:38:50.320604,2,15,55,Female,Ananya Reddy
7,7,Sports,427.12,2.9,2024-12-28 10:38:50.320610,0,47,19,Female,Sneha Iyer
932,351,Beauty,275.44,3.6,2024-11-25 10:38:50.320617,7,46,42,Female,Pooja Reddy
813,13,Home Decor,66.63,3.2,2024-03-03 10:38:50.320623,2,38,36,Female,Suresh Verma
842,200,Sports,113.31,1.8,2024-05-29 10:38:50.320629,3,33,20,Other,Kiran Patel
768,298,Clothing,69.86,1.7,2024-03-04 10:38:50.320636,2,20,31,Other,Amit Reddy
905,269,Home Decor,26.61,3.7,2025-01-22 10:38:50.320642,8,1,47,Male,Sneha Bose
391,241,Clothing,385.83,4.1,2024-03-26 10:38:50.320648,4,36,21,Male,Kiran Gupta
616,370,Electronics,130.55,4.0,2024-03-23 10:38:50.320655,9,16,30,Male,Rahul Bose
92,255,Sports,347.73,3.4,2024-05-18 10:38:50.320661,9,37,44,Female,Sneha Nair
71,270,Home Decor,324.18,1.3,2024-10-10 10:38:50.320667,6,3,25,Female,Deepika Nair
233,137,Books,43.11,1.2,2025-01-01 10:38:50.320673,0,12,46,Female,Amit Patel
981,131,Books,297.26,1.2,2024-11-16 10:38:50.320680,8,40,58,Female,Priya Bose
467,467,Books,254.07,3.9,2024-06-28 10:38:50.320686,5,28,37,Female,Amit Bose
778,408,Books,32.12,4.8,2024-03-01 10:38:50.320692,7,37,46,Female,Kiran Reddy
923,147,Beauty,302.16,1.7,2024-10-07 10:38:50.320699,7,40,51,Female,Vikram Sharma
835,138,Beauty,360.19,1.5,2024-04-06 10:38:50.320706,6,48,27,Male,Priya Singh
419,89,Beauty,271.67,4.8,2024-10-03 10:38:50.320712,1,14,39,Female,Vikram Reddy
444,51,Beauty,318.71,4.0,2025-01-07 10:38:50.320719,5,49,19,Male,Suresh Reddy
131,497,Home Decor,493.28,1.5,2024-08-19 10:38:50.320726,8,34,28,Female,Amit Verma
576,186,Home Decor,467.19,3.1,2024-11-26 10:38:50.320732,5,12,33,Male,Vikram Iyer
